sample_id,split,negative_type,raw_gene_count,annotated_gene_count,source_pathway_ids,source_families,source_overlap_count,source_overlap_fraction,cross_same_family,generation_seed,generation_attempt,source_raw_gene_count,source_annotated_gene_count,retention_fraction,gene_set_sha256
TRAIN_NEG_00049,train,shuffled,25,25,AC_PWY-2902,AraCyc_Misc,0,0.0,False,142,1,25,25,,b92243929ef106db8b47f6db726ce82951de5ba7da3bd38eeec6ad8de67fafc1
TRAIN_NEG_00050,train,partial_50_80,26,26,AC_PWYQT-4471,AraCyc_AminoAcid,26,1.0,False,142,1,47,47,0.5531914893617021,b4809444a4f737ebecfa927a794f841e5a98f9f0d67b8694f430498683bf699e
TRAIN_NEG_00051,train,cross_pathway,16,16,AC_TRPSYN-PWY;AC_LEU-DEG2-PWY,AraCyc_AminoAcid;AraCyc_Misc,16,1.0,False,142,1,34,34,,fea50e88702453e683a0435de7fe306787dd66195317255e8cc55a93b9e873f2
TRAIN_NEG_00052,train,random_5_30,12,12,,,0,0.0,False,142,1,0,0,,a84f2529336e0dbee160304b76886e22af33de7f813005f36822c6b43f6ae931
TRAIN_NEG_00053,train,shuffled,6,6,AC_PWY-7995,AraCyc_Misc,0,0.0,False,142,1,6,6,,3e21f525986eb9d00d4fd716168c0a88462a5a9cc8ab49de028a9102f9bd9b22
TRAIN_NEG_00054,train,partial_50_80,16,16,ath00196,KEGG_Metabolism,16,1.0,False,142,1,22,22,0.7272727272727273,cfc738c28894492d6eefe6e48a4222d593bbf29c3c7137685c9946f415d931a1
TRAIN_NEG_00055,train,cross_pathway,53,53,ath03082;ath00592,KEGG_GeneticInfo;KEGG_Lipid,53,1.0,False,142,1,107,107,,7a3292d3db262a115faa7498b3104e79ce58e182663c3ab55c96e46f4afae553
TRAIN_NEG_00056,train,random_5_30,10,10,,,0,0.0,False,142,1,0,0,,7979c0c8ccccb9ba34ff0414f38d656964af2a07f9745f95a177e8e73e5076b4
TRAIN_NEG_00057,train,shuffled,32,32,ath00906,KEGG_Cellular,0,0.0,False,142,1,32,32,,63cb5f469b3e96b988b5e25e712994685987c3c35aeef0bc6179e9fd60578c47
TRAIN_NEG_00058,train,partial_50_80,26,26,ath04382,KEGG_SignalTrans,26,1.0,False,142,1,35,35,0.7428571428571429,6834bfe395065250206a5a345553226f58249eca4f3aa9fa0927974695d3f016
TRAIN_NEG_00059,train,cross_pathway,141,141,AC_PWY-5004;ath01240,AraCyc_Misc;KEGG_Cellular,141,1.0,False,142,1,276,276,,f6912f0942c49d2b9708bc74bba68310941cfa27a0b848d484b1375888e88fbe
TRAIN_NEG_00060,train,random_5_30,19,19,,,0,0.0,False,142,1,0,0,,d07077da2896b303d58557945d3d382cbb9f9b3542cf44b6faf1b4710ce1e372
TRAIN_NEG_00061,train,shuffled,15,15,ath00750,KEGG_Cellular,0,0.0,False,142,1,15,15,,990f1657a98cdf24a3e948e76a38956e5af97aa560c4a3855fa1ddc3dcb5621d
TRAIN_NEG_00062,train,partial_50_80,7,7,AC_PWYQT-4482,AraCyc_Misc,7,1.0,False,142,1,11,11,0.6363636363636364,ad53c3926dbc4d3bb1d9b1d624d1020e42d67e966ca513d71cc44d171b687c52
TRAIN_NEG_00063,train,cross_pathway,9,9,AC_HEME-BIOSYNTHESIS-II;AC_PWY-5864,AraCyc_Misc;AraCyc_Misc,9,1.0,True,142,1,20,20,,08d3297ecd88130d77c8b9aa8ae561458d0d4b44d4958113f1043dae113f4d15
TRAIN_NEG_00064,train,random_5_30,23,23,,,0,0.0,False,142,1,0,0,,fd1d80d77889b278fb5b95548c5307c4303239b2fe7be72ab1ccec69cf437e4b
TRAIN_NEG_00065,train,shuffled,16,16,ath00780,KEGG_Cellular,0,0.0,False,142,1,16,16,,09f4fd52ede01a4d49f9862b76cd44fd0f505c1788e9b6e9660d966ec86c0c2a
TRAIN_NEG_00066,train,partial_50_80,5,5,AC_PWY-2582,AraCyc_Misc,5,1.0,False,142,2,7,7,0.7142857142857143,38fc71931c6160b16e3019669c9dc919bb7cbc18ff7c6b44ae192f11ae58258d
TRAIN_NEG_00067,train,cross_pathway,42,42,ath00071;ath00513,KEGG_Lipid;KEGG_Lipid,42,1.0,True,142,1,85,85,,f7eeac8d8ce37b591cd0ae6ba1fb6a7f6cd327bab49363c0237c439ed41d227d
TRAIN_NEG_00068,train,random_5_30,22,22,,,0,0.0,False,142,1,0,0,,0a33b3bda95d30b8261018be3061cc5bef6d47112426811f5e91c51262ba5432
TRAIN_NEG_00069,train,shuffled,130,130,ath00940,KEGG_Cellular,0,0.0,False,142,1,130,130,,fe3c668b3cc3ef53d7df3f2af8c921f4850e833f1691b15103b86c23de11540f
TRAIN_NEG_00070,train,partial_50_80,57,57,ath03013,KEGG_GeneticInfo,57,1.0,False,142,1,105,105,0.5428571428571428,52dc76ccf7fb60851faed4be8fc6da14fac88d63fc09e8190d30a652ff2e8397
TRAIN_NEG_00071,train,cross_pathway,33,33,AC_PWY-7980;ath00330,AraCyc_Misc;KEGG_Cellular,33,1.0,False,142,2,67,67,,ca7b11a4b39c421104c3dc029507d7f12892f2561b9063d15b919ca63d17d327
TRAIN_NEG_00072,train,random_5_30,11,11,,,0,0.0,False,142,1,0,0,,a41168ac6bba07d16ac79972191359b18b12a045bcd8b4b831e154909737fc80
TRAIN_NEG_00073,train,shuffled,13,13,AC_PWY-5337,AraCyc_Misc,0,0.0,False,142,1,13,13,,2419f08c60fe32b3e64783692dbcda6d945ee0aff2ef43122db157d0a76abe8a
TRAIN_NEG_00074,train,partial_50_80,14,14,ath05100,KEGG_Environmental,14,1.0,False,142,1,26,26,0.5384615384615384,c1d84d8a208bb143d43dc7976e52e47cdc6bb07f37d074f94c624452e0c5a0ac
TRAIN_NEG_00075,train,cross_pathway,8,8,AC_PWY-3041;AC_PWY-4541,AraCyc_Misc;AraCyc_Lipid,8,1.0,False,142,1,16,16,,62d3137318bfb70366d85ba2a9e3a646d1b416d560b654e2f3f32ae3c35b332b
TRAIN_NEG_00076,train,random_5_30,12,12,,,0,0.0,False,142,1,0,0,,e0bd3605af5b3098875ad6fbaec2a3668f13affcec8531e63c0106ec7bf110a4
TRAIN_NEG_00077,train,shuffled,6,6,AC_PWY-5807,AraCyc_Misc,0,0.0,False,142,1,6,6,,191bd6db75675dde0f95aa78f7638059602521d264abffbe357cb16523bb4918
TRAIN_NEG_00078,train,partial_50_80,8,8,AC_PWY18C3-24,AraCyc_Misc,8,1.0,False,142,1,16,16,0.5,1e9e7fb2913e5449799731a997e6a9e5e25780fb11029f6dd78e3066aa65442f
TRAIN_NEG_00079,train,cross_pathway,37,37,ath04712;ath00790,KEGG_SignalTrans;KEGG_Cellular,37,1.0,False,142,1,75,75,,4424f5c45411734eb32e7c53c34555563531198c5aadd531c203653c6ceb2771
TRAIN_NEG_00080,train,random_5_30,30,30,,,0,0.0,False,142,1,0,0,,5e01366b86a2c9f198b7d5688a8b395d4416c3c72cbf16a628e997b2462ce615
TRAIN_NEG_00081,train,shuffled,7,7,AC_PWY3O-450,AraCyc_Misc,0,0.0,False,142,1,7,7,,f4198a7095133a58734b34b53991fc68dc6147fa12b61560f687d18105d8fe44
TRAIN_NEG_00082,train,partial_50_80,151,131,ath03040,KEGG_GeneticInfo,151,1.0,False,142,1,243,216,0.6213991769547325,bf848b22015a05369cb7302a43163210721b9d65c86bba26f2dbb29191149993
TRAIN_NEG_00083,train,cross_pathway,24,24,AC_PWY-5337;ath00785,AraCyc_Misc;KEGG_Cellular,24,1.0,False,142,1,49,49,,5cd2c23c1f7cfd9fe3d2381dd8049238b84bab7b43e44ec46c132680e1ba0d0a
TRAIN_NEG_00084,train,random_5_30,19,19,,,0,0.0,False,142,1,0,0,,bb82e61352190347bc1e4542a81daa69a67661d83b08e44e21326924dd246c6e
TRAIN_NEG_00085,train,shuffled,27,27,AC_PWY-1001,AraCyc_Carbohydrate,0,0.0,False,142,1,27,27,,e055955a05f0abf6476e7a0e1c659b4421479262214b63dc6093fc6a5a790530
TRAIN_NEG_00086,train,partial_50_80,24,24,AC_PWY-5321,AraCyc_Misc,24,1.0,False,142,1,38,38,0.631578947368421,d528dd0b36d911d891cad892715a48b3ea591ccc7e899b7bc471cfc8175f0670
TRAIN_NEG_00087,train,cross_pathway,43,43,ath03440;AC_PWY-1001,KEGG_GeneticInfo;AraCyc_Carbohydrate,43,1.0,False,142,1,87,87,,5ef4ec7f93d25bb759d23f4d272f3e88a58364bc4bc39e4e83267e16050483d0
TRAIN_NEG_00088,train,random_5_30,11,11,,,0,0.0,False,142,1,0,0,,f60c772fbd084a03f54ba91487daedea7a986b1081ac5b04e0d672f345ea4c7a
TRAIN_NEG_00089,train,shuffled,13,13,ath04122,KEGG_SignalTrans,0,0.0,False,142,1,13,13,,80aadabe888653609c19566b3acba7d7d3804f932886e8cf78eb7c483c446165
TRAIN_NEG_00090,train,partial_50_80,13,13,AC_PWY-8157,AraCyc_Misc,13,1.0,False,142,1,26,26,0.5,0540588578e42069de166dd6ff50f3490f32ec04f53ed7f8294d29c6e4db3a08
TRAIN_NEG_00091,train,cross_pathway,19,19,AC_PWY-5963;AC_COMPLETE-ARO-ARA-PWY,AraCyc_Cofactor;AraCyc_AminoAcid,19,1.0,False,142,1,38,38,,bdc548b49d79094a1eabcb01068208a8e939133a78a54f061c5a044c5a8a471f
TRAIN_NEG_00092,train,random_5_30,11,11,,,0,0.0,False,142,1,0,0,,6b43a35d3e81854b4c02285bdedd157008617e1083ad667f0736be13bb95747e
TRAIN_NEG_00093,train,shuffled,11,11,AC_HISTSYN-PWY,AraCyc_Misc,0,0.0,False,142,1,11,11,,d5d5529ebdc0483a14faced2e398d223f4266f0ce7a990ce4c01d2c12de881b7
TRAIN_NEG_00094,train,partial_50_80,5,5,AC_PWY-6007,AraCyc_Misc,5,1.0,False,142,1,10,10,0.5,52f240d598686ce9e7909a92a9a7a89914311daab8c8f5a6e701b0540e71a80d
TRAIN_NEG_00095,train,cross_pathway,17,17,AC_ARGSYN-PWY;AC_PWY-7211,AraCyc_AminoAcid;AraCyc_Nucleotide,17,1.0,False,142,1,35,35,,ab613597e1fb0aff937eedb9f0d7b8b531a7912b7c449fce4dc9ef015e0fbbab
TRAIN_NEG_00096,train,random_5_30,18,18,,,0,0.0,False,142,1,0,0,,783bdea2a468ba2a2519231229ab6827aeb81ee5cb97dc0dcb04e970f697d65e
TRAIN_NEG_00097,train,shuffled,13,13,AC_GLUCOSE1PMETAB-PWY,AraCyc_Carbohydrate,0,0.0,False,142,1,13,13,,6618642b4a494386743ec0d7681ca8d3c15123d82c39d94e8f95835599212581
TRAIN_NEG_00098,train,partial_50_80,14,14,ath01040,KEGG_Lipid,14,1.0,False,142,1,25,25,0.56,c35f8b6b10b012d5b148f1a30c72886a808a72e05ebfb95fc8d266c647f50c47
TRAIN_NEG_00099,train,cross_pathway,44,44,ath03083;AC_GLYOXYLATE-BYPASS,KEGG_GeneticInfo;AraCyc_Misc,44,1.0,False,142,1,90,90,,6e765a0e2d9e9846ef815fc139005cbb07dacaba41b9c52166afa3484d38b42a
TRAIN_NEG_00100,train,random_5_30,26,26,,,0,0.0,False,142,1,0,0,,cc250ef48f194cf3e2d8f45e1f53fa9bdd65ff9fc07063c5382c61b846da9cd0
TRAIN_NEG_00101,train,shuffled,57,57,AC_TRIGLSYN-PWY,AraCyc_Misc,0,0.0,False,142,1,57,57,,e11917a153edbdfb45f02b7f425b0bec1f82af9c96382e929193841aad73bdb2
TRAIN_NEG_00102,train,partial_50_80,14,14,AC_PWY-5973,AraCyc_Misc,14,1.0,False,142,1,20,20,0.7,a2ce29090fed93006a344bbda62d882d5df8b34d8641172ca6279ec96596cd77
TRAIN_NEG_00103,train,cross_pathway,9,9,AC_PWY4FS-2;AC_PWY-4321,AraCyc_Misc;AraCyc_Misc,9,1.0,True,142,1,20,20,,b899d8000be35fb1e48be77ce70fd9ef23ca061f213a918eda5a656efdd6119b
TRAIN_NEG_00104,train,random_5_30,25,25,,,0,0.0,False,142,1,0,0,,b1a33bb81f659a433c50923d16dc9df52c34e111ec7f15e2ff6c65e4068926bf
TRAIN_NEG_00105,train,shuffled,22,22,AC_PWY-7211,AraCyc_Nucleotide,0,0.0,False,142,1,22,22,,8aaa8e79fedc720c384bf98acf54243600297c38942d074536241e3d2a7c7901
TRAIN_NEG_00106,train,partial_50_80,31,31,AC_TRIGLSYN-PWY,AraCyc_Misc,31,1.0,False,142,2,57,57,0.543859649122807,543ec7b94c64eb8193f86a64c8c3322168df04327e5407a63107d62fdceb4564
TRAIN_NEG_00107,train,cross_pathway,39,39,AC_PWY-6803;AC_PWY-5044,AraCyc_Misc;AraCyc_Nucleotide,39,1.0,False,142,1,79,79,,f1b4f01a1a0616b32bc5586d3da9ef99f9c61a7d8506ac9295cc19162f3ed861
TRAIN_NEG_00108,train,random_5_30,18,18,,,0,0.0,False,142,1,0,0,,981a9aad522128d97c4b5b752bf224347d5ba5c00eca1dfc42afee2b860ca28c
TRAIN_NEG_00109,train,shuffled,10,10,AC_PWY-3941,AraCyc_Misc,0,0.0,False,142,1,10,10,,0dc151d4b6a02734caec6c2db13c538a68943bf58151ed26214b0bf9519608e8
TRAIN_NEG_00110,train,partial_50_80,15,15,AC_PWY-6595,AraCyc_Nucleotide,15,1.0,False,142,1,19,19,0.7894736842105263,da2360ca1e54271983a7e9e962cb6b32dcdc4b4a8043a9b961ecf3c8464c5c2d
TRAIN_NEG_00111,train,cross_pathway,38,38,ath00900;ath00450,KEGG_Cellular;KEGG_Cellular,38,1.0,True,142,1,77,77,,29303e286387001b837f88048af620f49789b306f2851ee48997bede2b650ee3
TRAIN_NEG_00112,train,random_5_30,21,21,,,0,0.0,False,142,1,0,0,,96ca6e9b7a7f55489d673a691453d6f0935efcb908d4b41bdd87f2bdbb209e53
TRAIN_NEG_00113,train,shuffled,41,41,ath00350,KEGG_Cellular,0,0.0,False,142,1,41,41,,5e857e8e34cd300daab0741a21dbeb42f5ca356ea32cd1bc30043196bed6529b
TRAIN_NEG_00114,train,partial_50_80,8,8,AC_HISTSYN-PWY,AraCyc_Misc,8,1.0,False,142,1,11,11,0.7272727272727273,be034270338754a3ff5fb87ef2315a287260c91c654a91160ac1d9bf6ada905c
TRAIN_NEG_00115,train,cross_pathway,70,70,ath00360;ath00040,KEGG_Cellular;KEGG_Cellular,70,1.0,True,142,1,141,141,,833528989959ee34f1e22ce1dc7ef8faccc6d3111c46143a739e934f4f6aee6d
TRAIN_NEG_00116,train,random_5_30,8,8,,,0,0.0,False,142,1,0,0,,43e33a8e706ed3249470ad4c0e31827970edf085931861110240f4d2f1d8a4a5
TRAIN_NEG_00117,train,shuffled,26,26,ath05100,KEGG_Environmental,0,0.0,False,142,1,26,26,,185cff4c50eeec51ae544d3c2dc668ee87dd3ea6ce3d7738bc0a049d5929b6db
TRAIN_NEG_00118,train,partial_50_80,8,8,AC_PWY-6927,AraCyc_Misc,8,1.0,False,142,1,13,13,0.6153846153846154,ddc6b5d95c50bd9c381b495c47f1c8f299eeb906393c84d9599ba7d3fa2720d3
TRAIN_NEG_00119,train,cross_pathway,11,11,AC_PWY-6606;AC_PWY-2301,AraCyc_Nucleotide;AraCyc_Misc,11,1.0,False,142,1,23,23,,6c558207a004f5a433a2ac4175a0928944ae276c5f6e8728e302298285780716
TRAIN_NEG_00120,train,random_5_30,9,9,,,0,0.0,False,142,1,0,0,,8bf9445de29383f032efc3ff87294a01e824eeab63d4751acb54b6875c0459ed
TRAIN_NEG_00121,train,shuffled,11,11,ath00430,KEGG_Cellular,0,0.0,False,142,1,11,11,,dde2fe3b5445240219e842b5743f5b6b2b627d3fd13d08c81231a53c29460faf
TRAIN_NEG_00122,train,partial_50_80,51,49,ath01212,KEGG_Lipid,51,1.0,False,142,1,70,68,0.7285714285714285,6aef79a890692120b6614a4ece36bce9b68a371d4233cd47d63f7401c93c0a5b
TRAIN_NEG_00123,train,cross_pathway,27,27,AC_PWY-5156;AC_HEME-BIOSYNTHESIS-II,AraCyc_Lipid;AraCyc_Misc,27,1.0,False,142,1,56,56,,845704d5116f372593fecda514573058ddea834370c188c4c710f95dc5f7eb20
TRAIN_NEG_00124,train,random_5_30,14,14,,,0,0.0,False,142,1,0,0,,d907df2e319dad0b3f45f534e63b15fbef368f5ccac023ca07f94a9e4249be1f
TRAIN_NEG_00125,train,shuffled,6,6,AC_PWY-6622,AraCyc_Misc,0,0.0,False,142,1,6,6,,5ec6ac0f767ec8762992d38e19eeb7ddc50c8ac4f3a75a9760520b1dfcee97f3
TRAIN_NEG_00126,train,partial_50_80,26,26,AC_CITRULBIO-PWY,AraCyc_Misc,26,1.0,False,142,1,43,43,0.6046511627906976,cd318ddc724afd8a610478b188606cfb6505bfa2ed4aefea1af33ff6667470a2
TRAIN_NEG_00127,train,cross_pathway,12,12,ath00740;AC_PWY-7851,KEGG_Cellular;AraCyc_Misc,12,1.0,False,142,1,25,25,,76eec157c5b10dc3491d2634658fc4f981e424d1f19f0403898ece7ebd99a83c
TRAIN_NEG_00128,train,random_5_30,14,14,,,0,0.0,False,142,1,0,0,,52c973bdf5f8ce369d267d6ebc2c370c98ff94732dd00cc239405c2f9437096a
