sample_id,split,label,gene_set_type,annotated_gene_count,jaccard_gene_count,jaccard_mode,all_pair_count,evaluated_pair_count,complete_gene_set_sha256,jaccard_subset_sha256
AC_BSUBPOLYAMSYN-PWY,train,1,NA,7,7,exact,21,21,1734f79d2c10c85806e2c9d8ee6e7e136f13c8292b1fcabf64f114eb4893275f,1734f79d2c10c85806e2c9d8ee6e7e136f13c8292b1fcabf64f114eb4893275f
AC_CALVIN-PWY,train,1,NA,35,30,hash_sampled,595,435,325f04b12895a72a280af68cf65a5329edaa4b2341db289c2e529ae4e92cd9b8,fc4f6042720f35bd55c9be2097b91b77ecc021fbe9b23ecd9fb6c471d8f8fd15
AC_CHLOROPHYLL-SYN,train,1,NA,10,10,exact,45,45,137141452fbd6908069ca7724b42b67f854c6ed58b3171221935ea28de1c50e2,137141452fbd6908069ca7724b42b67f854c6ed58b3171221935ea28de1c50e2
AC_CITRULBIO-PWY,train,1,NA,43,30,hash_sampled,903,435,3e636cfe523783f325563127d1cd6f1bd8cdf7ead0024987fbdcad39e3cbe859,295f652c365ff11dac6916cc7626ed69057b35da7fe60cd5701ccdea028f0f67
AC_COA-PWY,train,1,NA,6,6,exact,15,15,0526dedde4bc44eaac05044c0dc79d3df9a1456a58e1feb4907d912f6d380e41,0526dedde4bc44eaac05044c0dc79d3df9a1456a58e1feb4907d912f6d380e41
AC_COMPLETE-ARO-ARA-PWY,train,1,NA,32,30,hash_sampled,496,435,36a0417a145ed637f096cfb156b5bcefbd292e705c1d8ea829e45d465c7d525a,44b429646fecac2d51f64765b37294e252ee6fa1f8c09b309265aab1e05d1031
AC_CYANCAT-PWY,train,1,NA,16,16,exact,120,120,e0bd20501e4f72785d1828f1cd2a395ac44cd613950ac428966da04ab36f7a34,e0bd20501e4f72785d1828f1cd2a395ac44cd613950ac428966da04ab36f7a34
AC_CYSTSYN-PWY,train,1,NA,13,13,exact,78,78,482fc2bc09ce34cda4ee560695a42cacd283d7d88f987944622e96806929f2f4,482fc2bc09ce34cda4ee560695a42cacd283d7d88f987944622e96806929f2f4
AC_DTDPRHAMSYN-PWY,train,1,NA,7,7,exact,21,21,cab7a54d5dedb7bafe9d2e5216e51bd22dc88ed751b939896cd3d7bb17009b7c,cab7a54d5dedb7bafe9d2e5216e51bd22dc88ed751b939896cd3d7bb17009b7c
AC_ETHYL-PWY,train,1,NA,23,23,exact,253,253,770672cf7e2946674632653d25f50b995ae708fed5ff9742aea91aa966dda208,770672cf7e2946674632653d25f50b995ae708fed5ff9742aea91aa966dda208
AC_FASYN-ELONG-PWY,train,1,NA,15,15,exact,105,105,ba69b05464d0d4697289d71557720c5c9db60e443dcf8560a3834ac3da274f5d,ba69b05464d0d4697289d71557720c5c9db60e443dcf8560a3834ac3da274f5d
AC_GLUCONEO-PWY,train,1,NA,48,30,hash_sampled,1128,435,a009efff5f19a7fa8776a8336fa8648f4da411aaec64b44ba8ce8bc499805d69,0eb5f46373cd33cfbff6e77e640df2c3a90a3ec00f90a97a51961b283a855872
AC_GLUCOSE1PMETAB-PWY,train,1,NA,13,13,exact,78,78,d79206d598b6608e65ebcaf246cbff0388a1be11576c499526aafdf97facf873,d79206d598b6608e65ebcaf246cbff0388a1be11576c499526aafdf97facf873
AC_GLUTAMINDEG-PWY,train,1,NA,35,30,hash_sampled,595,435,a4118fc021955b2d948ad5f5821833259859a881204a56ebba1b075c4d9eb7c7,c0a1d17812a7550a1b0d154d96527544e10e22c4135807bcbb33e4f992d72c28
AC_GLUTORN-PWY,train,1,NA,10,10,exact,45,45,f1026ea09e15d34d78e0b2bbd40cabb905035ffde820929ecc6dc818ea4af51a,f1026ea09e15d34d78e0b2bbd40cabb905035ffde820929ecc6dc818ea4af51a
AC_GLYCLEAV-PWY,train,1,NA,10,10,exact,45,45,fa8759797920a7a56a4d4c86c6197c9c37050d64e9ac4093b55e43647e810674,fa8759797920a7a56a4d4c86c6197c9c37050d64e9ac4093b55e43647e810674
AC_GLYCOLYSIS,train,1,NA,56,30,hash_sampled,1540,435,f62ef0be8776af1290510c17678ead228962d28d5da399c652d2f65dead75c00,b9508b371ed60079cf9f2265b04690667f87157de50d1374140738b36c6db8ad
AC_GLYOXYLATE-BYPASS,train,1,NA,21,21,exact,210,210,357cff8c9e136e4137d05e9a2f073e95e5fc1e978846452e8b695666295d5845,357cff8c9e136e4137d05e9a2f073e95e5fc1e978846452e8b695666295d5845
AC_GLYSYN-ALA-PWY,train,1,NA,5,5,exact,10,10,40cc533ad736756165848eeba2a2076b7edbba93c201d5706c0f0cd171fa927a,40cc533ad736756165848eeba2a2076b7edbba93c201d5706c0f0cd171fa927a
AC_GLYSYN-PWY,train,1,NA,7,7,exact,21,21,0946f2d13493ddc2a8a44861921afb3c06b844ee42125d45966e75dcd3874165,0946f2d13493ddc2a8a44861921afb3c06b844ee42125d45966e75dcd3874165
AC_HEME-BIOSYNTHESIS-II,train,1,NA,9,9,exact,36,36,880c9956af59cd088c831157c172240bdb678788ec70e53e6a5cb51f6bb26c56,880c9956af59cd088c831157c172240bdb678788ec70e53e6a5cb51f6bb26c56
AC_HISTSYN-PWY,train,1,NA,11,11,exact,55,55,578582b4a04a42535e37016f8fb7dc238db6a5f582b69cd187ba08d346a252ec,578582b4a04a42535e37016f8fb7dc238db6a5f582b69cd187ba08d346a252ec
AC_HOMOSERSYN-PWY,train,1,NA,6,6,exact,15,15,e9572ed83b5d87b7cdf2abef0e7a854db3cb2981286306eae7990bb29b93c10f,e9572ed83b5d87b7cdf2abef0e7a854db3cb2981286306eae7990bb29b93c10f
AC_ILE-VAL-PWY,train,1,NA,7,7,exact,21,21,4a1bb1ac7889f7f7a7788d63f9f7cb970f0e3c6cb42bc455819a494309b61eb3,4a1bb1ac7889f7f7a7788d63f9f7cb970f0e3c6cb42bc455819a494309b61eb3
AC_ILEUDEG-PWY,train,1,NA,9,9,exact,36,36,7fea6767740967172aa5172872782bcbb7a3b6582e90fbe995c0c84999f74c89,7fea6767740967172aa5172872782bcbb7a3b6582e90fbe995c0c84999f74c89
AC_ILEUSYN-PWY,train,1,NA,6,6,exact,15,15,173b87f6d85e38be63131c0ee9e0245b96289883e13f48502f29fa28b653e822,173b87f6d85e38be63131c0ee9e0245b96289883e13f48502f29fa28b653e822
AC_LEU-DEG2-PWY,train,1,NA,13,13,exact,78,78,b4d018e6ba092c15d3abdc3004e9a170712fc2e604962297b48eaa514e5b6c9a,b4d018e6ba092c15d3abdc3004e9a170712fc2e604962297b48eaa514e5b6c9a
AC_LEUSYN-PWY,train,1,NA,18,18,exact,153,153,c865c52e1fe5438f6bac26aa49c34093da56a85dbd452b5ca1aeb1e7abc01b5b,c865c52e1fe5438f6bac26aa49c34093da56a85dbd452b5ca1aeb1e7abc01b5b
AC_LIPASYN-PWY,train,1,NA,59,30,hash_sampled,1711,435,7075d0469eabbce4906c265a51e2e72b0a244fb6577be23815b8944a8a34d581,128ba52f3c5a468868e2669cc398ff10fe97db7efecec11a8bedd41b94b479ac
AC_LYSINE-DEG2-PWY,train,1,NA,5,5,exact,10,10,77286fe8c4c54730d2076f77c8d669c8bd0524ddb7bcedf304110419f1b7b48c,77286fe8c4c54730d2076f77c8d669c8bd0524ddb7bcedf304110419f1b7b48c
AC_MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS,train,1,NA,14,14,exact,91,91,2ab9180ee057b64c91a6ac9519b6cee71e3ff8c7dd95222ca5e38b2e759fa738,2ab9180ee057b64c91a6ac9519b6cee71e3ff8c7dd95222ca5e38b2e759fa738
AC_METHIONINE-DEG1-PWY,train,1,NA,5,5,exact,10,10,ecae25f996df49c229266e781cb82d70ed56b3f7ebae1b5c6db9c7d242c18647,ecae25f996df49c229266e781cb82d70ed56b3f7ebae1b5c6db9c7d242c18647
AC_OXIDATIVEPENT-PWY,train,1,NA,14,14,exact,91,91,f2c63c5ec360d0b5b7df2ddc32785e7e7d9969e42d1801cc7879f8f1be11d7bd,f2c63c5ec360d0b5b7df2ddc32785e7e7d9969e42d1801cc7879f8f1be11d7bd
AC_POLYAMINSYN3-PWY,train,1,NA,12,12,exact,66,66,7726776d2436a4fd9e92aea90ae135e404b09a4a9920142af1756deae5ff82b8,7726776d2436a4fd9e92aea90ae135e404b09a4a9920142af1756deae5ff82b8
AC_PWY-1001,train,1,NA,27,27,exact,351,351,ab248c315ae46ae6847c1628f15673f71e55a5413cf9bb2d9cbd89ce8528069a,ab248c315ae46ae6847c1628f15673f71e55a5413cf9bb2d9cbd89ce8528069a
AC_PWY-101,train,1,NA,18,18,exact,153,153,b1601d1f4d041b1d90fbc761579d92d5a54bd71f1457cc2187b1ca818bd66758,b1601d1f4d041b1d90fbc761579d92d5a54bd71f1457cc2187b1ca818bd66758
AC_PWY-1042,train,1,NA,51,30,hash_sampled,1275,435,5076f29deeeb00768291806083150b732e3cbda87be0da73e95c22806aa28884,3c64cbb895c70427cd7a5579885229352ae632431a2e7e405881d706de569717
AC_PWY-1061,train,1,NA,26,26,exact,325,325,844204f0ef4b136ac46dfdc4f4ffd38bcb112cba75a17a6723059beeb3962067,844204f0ef4b136ac46dfdc4f4ffd38bcb112cba75a17a6723059beeb3962067
AC_PWY-112,train,1,NA,6,6,exact,15,15,c43d932b4f8513cad06eb975f619465d13e0964076c3b37f385d97079ed49f96,c43d932b4f8513cad06eb975f619465d13e0964076c3b37f385d97079ed49f96
AC_PWY-1121,train,1,NA,59,30,hash_sampled,1711,435,81fdd7fe41e0a9cdc17676eb1744a8b275fb8f1550fec90525d16b1fd60aaa15,73c20e14bef6e24c8aca1a6f95cc6e9d2f7f1007ccbbeecc63fb05fee08840da
AC_PWY-1187,train,1,NA,32,30,hash_sampled,496,435,1999cc88a800537e6236fb02002a42f158beb96d81c3cc854b4277480230309f,2bde9701ce5cb8938bdf7208ab6b517b261833d4d5f9f7509af77ee8a3b6d6bd
AC_PWY-1722,train,1,NA,7,7,exact,21,21,88d55886e2dc18a65c826799c2dd97b6eb137ef03234d9c9fcaf07eff2cef2fc,88d55886e2dc18a65c826799c2dd97b6eb137ef03234d9c9fcaf07eff2cef2fc
AC_PWY-1741,train,1,NA,5,5,exact,10,10,c6dcbedf15e428ef61fdbe176d3020cd4f7bb9e81aa49e9d491a1fc0be909963,c6dcbedf15e428ef61fdbe176d3020cd4f7bb9e81aa49e9d491a1fc0be909963
AC_PWY-1782,train,1,NA,17,17,exact,136,136,82d731427f31a2c177c1a4edadfc39ba39ada1304093b91e8e8f64c7dd1ae2db,82d731427f31a2c177c1a4edadfc39ba39ada1304093b91e8e8f64c7dd1ae2db
AC_PWY-181,train,1,NA,23,23,exact,253,253,c59b47253643841f606af04b2ee9a4def9c33f1d941a9f69b149d25a6f76af72,c59b47253643841f606af04b2ee9a4def9c33f1d941a9f69b149d25a6f76af72
AC_PWY-2021,train,1,NA,12,12,exact,66,66,fc4b35dc89a15ae7ca0ab735a29f9a4d4d5e0bf06a1224b4bf06eb171e0ea5d4,fc4b35dc89a15ae7ca0ab735a29f9a4d4d5e0bf06a1224b4bf06eb171e0ea5d4
AC_PWY-2161,train,1,NA,14,14,exact,91,91,a155441b5bca20c354da9a3c77d1e10fe0f129fe17360de32ca73ae2c0566ca6,a155441b5bca20c354da9a3c77d1e10fe0f129fe17360de32ca73ae2c0566ca6
AC_PWY-2181,train,1,NA,9,9,exact,36,36,0fce178e65579752f359f9332e8bb319b6659025ca547b699f5a2707f83561ed,0fce178e65579752f359f9332e8bb319b6659025ca547b699f5a2707f83561ed
AC_PWY-2301,train,1,NA,6,6,exact,15,15,f4772eed694690acf30587bb556f5bd94f6417bd5161fb606d52e934111d413d,f4772eed694690acf30587bb556f5bd94f6417bd5161fb606d52e934111d413d
AC_PWY-2463,train,1,NA,9,9,exact,36,36,a778abb7474876a56b965f41bb735fae22bb1ce9a24177a545962ff265054805,a778abb7474876a56b965f41bb735fae22bb1ce9a24177a545962ff265054805
AC_PWY-2541,train,1,NA,23,23,exact,253,253,a6253c14bcd1a04f29a327bbc1360f38299e939969fc485a263f110d7cdf87fd,a6253c14bcd1a04f29a327bbc1360f38299e939969fc485a263f110d7cdf87fd
AC_PWY-2582,train,1,NA,7,7,exact,21,21,5e27f0c888799609435db61bde083312f7356256fb812b0de32ff17827d5a181,5e27f0c888799609435db61bde083312f7356256fb812b0de32ff17827d5a181
AC_PWY-2681,train,1,NA,9,9,exact,36,36,c1565cdb04aec4d41479705723b280654751be008ad5485adc1adcaf4afbdbe9,c1565cdb04aec4d41479705723b280654751be008ad5485adc1adcaf4afbdbe9
AC_PWY-282,train,1,NA,14,14,exact,91,91,db666d84945adf85cdaba37fd1b1440da58aab279eb96bd6c80f53d0a941cc85,db666d84945adf85cdaba37fd1b1440da58aab279eb96bd6c80f53d0a941cc85
AC_PWY-2821,train,1,NA,20,20,exact,190,190,ecbf5a870bc02744f9712fd4a22b933e9babcbb3ecfd7a464d598b9d5fa5c8c5,ecbf5a870bc02744f9712fd4a22b933e9babcbb3ecfd7a464d598b9d5fa5c8c5
AC_PWY-2902,train,1,NA,25,25,exact,300,300,b65adb8137fb87d4ac7dfb22aade92c717ce9d4f42bb198d503978e07a872450,b65adb8137fb87d4ac7dfb22aade92c717ce9d4f42bb198d503978e07a872450
AC_PWY-3041,train,1,NA,8,8,exact,28,28,27c31c204fb270e10d9a5297ab6384f0bf50c0e59d9c5be4611eb8f84f55f88c,27c31c204fb270e10d9a5297ab6384f0bf50c0e59d9c5be4611eb8f84f55f88c
AC_PWY-3101,train,1,NA,14,14,exact,91,91,05d89ac30d921936c5aa698de022a85fd53520baf0ca0423ddcab1b21892c7a5,05d89ac30d921936c5aa698de022a85fd53520baf0ca0423ddcab1b21892c7a5
AC_PWY-321,train,1,NA,37,30,hash_sampled,666,435,2fe9cb074a72215d2afc4f86271ef005ae65240d6e60a2a8750ff291b86b4394,4ea03c1941b75a295da499c897e50c37f1c14eb9e46cf3051e38ea9946319ebc
AC_PWY-3461,train,1,NA,5,5,exact,10,10,906b6559e384cfa45094252ba56b62b6ae2048bf16aef9e017bff20e626c9fdf,906b6559e384cfa45094252ba56b62b6ae2048bf16aef9e017bff20e626c9fdf
AC_PWY-3462,train,1,NA,10,10,exact,45,45,1f7c1fbf70004c3d2988413652dea5080fc3458b9880c29eb0bf4161a17734f6,1f7c1fbf70004c3d2988413652dea5080fc3458b9880c29eb0bf4161a17734f6
AC_PWY-3481,train,1,NA,11,11,exact,55,55,632afeee1bc45eff8567dd8179df647e85c9334e55aed71df067f02eef465957,632afeee1bc45eff8567dd8179df647e85c9334e55aed71df067f02eef465957
AC_PWY-3781,train,1,NA,38,30,hash_sampled,703,435,b4490fe5239afe73ecf99512f145f09c2d20d8773d6203e1cf12026771b67d7b,e11928ac01d75b7a850a37b1e73ebf4dd78c5faa560281aa457840254c7e48fe
AC_PWY-3801,train,1,NA,35,30,hash_sampled,595,435,24d2b8fdd1f993e51c45fbb9ab2bd4b5d1199c8befe586094d5686dec2752310,9468fcd73108f78ea08a849dbbedc2a6a9e6cc4649af7a441703f05679f0296e
AC_PWY-3941,train,1,NA,10,10,exact,45,45,2d729f28f3535abfd7fe8ce312c9f96a35c5ebb4da9193414cac689280a7c949,2d729f28f3535abfd7fe8ce312c9f96a35c5ebb4da9193414cac689280a7c949
AC_PWY-401,train,1,NA,6,6,exact,15,15,7d8d5844beaa8eba51d5e29130fa7963e5b3a263a5b60f38bb653ee70cd672c8,7d8d5844beaa8eba51d5e29130fa7963e5b3a263a5b60f38bb653ee70cd672c8
AC_PWY-4041,train,1,NA,6,6,exact,15,15,52a7300ecf9146957409d642cc395e93afaac5f6a4e5192f653971a23e86a414,52a7300ecf9146957409d642cc395e93afaac5f6a4e5192f653971a23e86a414
AC_PWY-4081,train,1,NA,11,11,exact,55,55,9068279728222e78b2448cd6f0603c578ad14890f6f12d00169face21e04eae4,9068279728222e78b2448cd6f0603c578ad14890f6f12d00169face21e04eae4
AC_PWY-4101,train,1,NA,18,18,exact,153,153,31c5ab647e2eca816b7253fedbc16c51f0ac497acf11f87fc004d06efa35ba52,31c5ab647e2eca816b7253fedbc16c51f0ac497acf11f87fc004d06efa35ba52
AC_PWY-4203,train,1,NA,13,13,exact,78,78,1aced0f6ed08d487b9db3bdb5b4c0e2577d5217a2ce7c26104069771b2cfb225,1aced0f6ed08d487b9db3bdb5b4c0e2577d5217a2ce7c26104069771b2cfb225
AC_PWY-4221,train,1,NA,24,24,exact,276,276,d4f4bcab236c03c7bc2820faa34c605599f64065dbb2267c45f4b1ab6aa6b321,d4f4bcab236c03c7bc2820faa34c605599f64065dbb2267c45f4b1ab6aa6b321
AC_PWY-4302,train,1,NA,35,30,hash_sampled,595,435,23dcfa003ebcfe55ab3288f54dbfd6f78419e7ae1443ebee62c67e28607ec84d,dbb101f46b2096b204e85edb3aae2e130c9e71c36824c289a12df79b6c12ae4d
AC_PWY-4321,train,1,NA,9,9,exact,36,36,b6be1b881bc02bd27b8f87f68ec2eaccd23909ede4ef87503bf43116cb2d9a78,b6be1b881bc02bd27b8f87f68ec2eaccd23909ede4ef87503bf43116cb2d9a78
AC_PWY-4381,train,1,NA,6,6,exact,15,15,9f0d2ee299f5866994437c4372530dae70ca7efba28bb44d607900abb9ba84f6,9f0d2ee299f5866994437c4372530dae70ca7efba28bb44d607900abb9ba84f6
AC_PWY-4541,train,1,NA,8,8,exact,28,28,0ed1cf0e7c404c9473615cfb6acbf49727c6bb10555510589a204e53842022ec,0ed1cf0e7c404c9473615cfb6acbf49727c6bb10555510589a204e53842022ec
AC_PWY-4702,train,1,NA,5,5,exact,10,10,075ae4ef1485bb337202d10a443f62b3de52b5b911fe7e540fceadd204d782a8,075ae4ef1485bb337202d10a443f62b3de52b5b911fe7e540fceadd204d782a8
AC_PWY-4821,train,1,NA,12,12,exact,66,66,4d480da52a6a1badb38653f2f31f65c66c22eb0ca7e5100ebfff900899e9984e,4d480da52a6a1badb38653f2f31f65c66c22eb0ca7e5100ebfff900899e9984e
AC_PWY-4841,train,1,NA,7,7,exact,21,21,f62b9586bb096c73997c446fe9622136053cd589d0adb08042e5d057e7cb3486,f62b9586bb096c73997c446fe9622136053cd589d0adb08042e5d057e7cb3486
AC_PWY-4861,train,1,NA,5,5,exact,10,10,ee8d45be5fc0a7628aacfaac720a69dfbe8aa2ce0bc1e9f4110e44326b239748,ee8d45be5fc0a7628aacfaac720a69dfbe8aa2ce0bc1e9f4110e44326b239748
AC_PWY-4984,train,1,NA,5,5,exact,10,10,ec7738024e6123c64a3636e5e9284b6989ef0ccd594dea61fab78e5aa6908e47,ec7738024e6123c64a3636e5e9284b6989ef0ccd594dea61fab78e5aa6908e47
AC_PWY-5004,train,1,NA,46,30,hash_sampled,1035,435,28d361fd8f5a7af14f48f3fe152a80c07fa8dbe75e362c842759bffa32adc097,d1fda8f6a68c674a68d41e73347e16bbf6795306ffaf5b742235d8f2f05b3fe5
AC_PWY-5027,train,1,NA,8,8,exact,28,28,c0348fa3f8b4e1fbcc72e57ca3209784392abf0df7e555f714d1506f4c8355c9,c0348fa3f8b4e1fbcc72e57ca3209784392abf0df7e555f714d1506f4c8355c9
AC_PWY-5035,train,1,NA,14,14,exact,91,91,d7129aa89b2e1d5f7059f8b59726627e41bcf0db7677614e4e19e72b7b9e8760,d7129aa89b2e1d5f7059f8b59726627e41bcf0db7677614e4e19e72b7b9e8760
AC_PWY-5041,train,1,NA,8,8,exact,28,28,99707371e33d2b7fe49dafca602edf70528b2add7223cb4599403b42cabab174,99707371e33d2b7fe49dafca602edf70528b2add7223cb4599403b42cabab174
AC_PWY-5044,train,1,NA,23,23,exact,253,253,ffda4e6959aac921445f7ba4cd7a873916eb135a22680586bd6f41f02f08ab6a,ffda4e6959aac921445f7ba4cd7a873916eb135a22680586bd6f41f02f08ab6a
AC_PWY-5046,train,1,NA,8,8,exact,28,28,38c0667aef17e1a97b292ab0e8e404d1e0cec439d6f4fe7e90c07a4594c77e30,38c0667aef17e1a97b292ab0e8e404d1e0cec439d6f4fe7e90c07a4594c77e30
AC_PWY-5049,train,1,NA,5,5,exact,10,10,a6335d7891cd9795b9449b76a98762da0e851ccf3bf42ebdac75b3fe8c0c346c,a6335d7891cd9795b9449b76a98762da0e851ccf3bf42ebdac75b3fe8c0c346c
AC_PWY-5068,train,1,NA,6,6,exact,15,15,ea47d6cb6d08871bf340b1f13c1c59c96e005c2eddc7971ed4edd4b28eb8d543,ea47d6cb6d08871bf340b1f13c1c59c96e005c2eddc7971ed4edd4b28eb8d543
AC_PWY-5070,train,1,NA,8,8,exact,28,28,4783b2aa1f62c77a2f3d75c685c7ad6b49caa2264dffc06ff782be2443f201b5,4783b2aa1f62c77a2f3d75c685c7ad6b49caa2264dffc06ff782be2443f201b5
AC_PWY-5080,train,1,NA,44,30,hash_sampled,946,435,60493205d3e257672390a0302a909b466c140682c306be9a7956680977afb2ba,8996be9c6290327944d05884cae09f3dd606efae2c35a978b710823e6b408b6a
AC_PWY-5083,train,1,NA,26,26,exact,325,325,fa8937dd05ab817e372260c7ab7aafdb18f6a81bd3c708b6a91e0e0fdb8d04a6,fa8937dd05ab817e372260c7ab7aafdb18f6a81bd3c708b6a91e0e0fdb8d04a6
AC_PWY-5084,train,1,NA,8,8,exact,28,28,7b8601224acca59bfbd3e5401ce7754ff88acd9138df48146175bbedc56932f9,7b8601224acca59bfbd3e5401ce7754ff88acd9138df48146175bbedc56932f9
AC_PWY-5097,train,1,NA,15,15,exact,105,105,e2941473d8b31da07831ca4f556b53059296088ebe5207ef16c54994a571b1f2,e2941473d8b31da07831ca4f556b53059296088ebe5207ef16c54994a571b1f2
AC_PWY-5098,train,1,NA,9,9,exact,36,36,e996857d4bca162f54e6500b57f9382ee0285936334ea32bdb89c1c40d12e14b,e996857d4bca162f54e6500b57f9382ee0285936334ea32bdb89c1c40d12e14b
AC_PWY-5120,train,1,NA,16,16,exact,120,120,0dddf26917141e07901b667dabd2602118c40ba9e31ddeed389e314756b63415,0dddf26917141e07901b667dabd2602118c40ba9e31ddeed389e314756b63415
AC_PWY-5121,train,1,NA,29,29,exact,406,406,01ed2070a1185529f3b3028353672b25eb7c80894096690fd2d2aec0adb8f586,01ed2070a1185529f3b3028353672b25eb7c80894096690fd2d2aec0adb8f586
AC_PWY-5122,train,1,NA,15,15,exact,105,105,ed9f32c3cc41ba98d642eb0b0beec7e24829b3026c0c949e351e4675b896a941,ed9f32c3cc41ba98d642eb0b0beec7e24829b3026c0c949e351e4675b896a941
AC_PWY-5125,train,1,NA,14,14,exact,91,91,a8f6cee3f79f338516beed8619a4991d5ff6477026c155e67d7d6af0fbf74b92,a8f6cee3f79f338516beed8619a4991d5ff6477026c155e67d7d6af0fbf74b92
AC_PWY-5129,train,1,NA,17,17,exact,136,136,273d818e3bed32fe8bf35226530637710c6e978d904eef0a01cf37cb569c81f1,273d818e3bed32fe8bf35226530637710c6e978d904eef0a01cf37cb569c81f1
AC_PWY-5136,train,1,NA,15,15,exact,105,105,3e04fed7e61fe86aa63556a41571d5130a2ecd3d363a15d730feaa515af76407,3e04fed7e61fe86aa63556a41571d5130a2ecd3d363a15d730feaa515af76407
AC_PWY-5138,train,1,NA,10,10,exact,45,45,513f21ecd64d9e5902628fb81abac6a57354e8010dc2b4810faca9a112b7e318,513f21ecd64d9e5902628fb81abac6a57354e8010dc2b4810faca9a112b7e318
AC_PWY-5142,train,1,NA,7,7,exact,21,21,3742c190e37dc7bc08b7c5b207fb76002f6b3b2c5f96981a8c6207f40075650d,3742c190e37dc7bc08b7c5b207fb76002f6b3b2c5f96981a8c6207f40075650d
AC_PWY-5143,train,1,NA,12,12,exact,66,66,2f2d2ae2e67afc90ce0ef889c13843dbfa9d314347e72cb8b8641a5c1706835b,2f2d2ae2e67afc90ce0ef889c13843dbfa9d314347e72cb8b8641a5c1706835b
AC_PWY-5147,train,1,NA,27,27,exact,351,351,affce52dad8f461b391c99c74dfa345ea50a574c8e0dc1c16e9cfe678a0357f1,affce52dad8f461b391c99c74dfa345ea50a574c8e0dc1c16e9cfe678a0357f1
AC_PWY-5156,train,1,NA,47,30,hash_sampled,1081,435,b12116525627bf0febf517b8bb1f4b8fe0cab49482f8ff37562e7fbfa4e6f90a,774a25bf9ef08da4163c62dd0f3fbd9910bff931b0f491758b4e4b357402de33
AC_PWY-5173,train,1,NA,19,19,exact,171,171,60a7bc72fd51ae25810b918414577acbf41ace588155a5f6b2a1b98dccaefe4e,60a7bc72fd51ae25810b918414577acbf41ace588155a5f6b2a1b98dccaefe4e
AC_PWY-5188,train,1,NA,9,9,exact,36,36,7e37d8595aa9320dc696800b375dafda4c5f73ca1b38f2f3e90e04c3695bd977,7e37d8595aa9320dc696800b375dafda4c5f73ca1b38f2f3e90e04c3695bd977
AC_PWY-5203,train,1,NA,14,14,exact,91,91,41df94c3f39460d31ee238ed9c811dbdecbf35814289f51f28e435fcdedee1cb,41df94c3f39460d31ee238ed9c811dbdecbf35814289f51f28e435fcdedee1cb
AC_PWY-5267,train,1,NA,14,14,exact,91,91,6d3e8318e96354e8f5de01264f93bceef9664066b92a594029f025bc63b17763,6d3e8318e96354e8f5de01264f93bceef9664066b92a594029f025bc63b17763
